"dimensione,bucket_min,bucket_max,variante,testo"
"xg_diff,-99,-0.75,1,""Il modello assegna a {teamB} una produzione offensiva attesa nettamente superiore ({xg_b} xG contro {xg_a}): sul piano della qualità delle occasioni gli ospiti partono avanti."""
"xg_diff,-99,-0.75,2,""Sul fronte expected goals {teamB} mostra una creazione di palle gol chiaramente più ricca: {xg_b} contro {xg_a}, gap raro a favore di chi gioca fuori casa."""
"xg_diff,-0.75,-0.25,1,""Leggera prevalenza offensiva attesa per {teamB} ({xg_b} xG vs {xg_a}): margine reale ma non decisivo."""
"xg_diff,-0.75,-0.25,2,""La bilancia degli xG pende lievemente verso {teamB}, senza configurare un dominio territoriale netto."""
"xg_diff,-0.25,0.25,1,""Produzione offensiva attesa in equilibrio: {xg_a} xG per {teamA}, {xg_b} per {teamB}. La partita si giocherà sugli episodi."""
"xg_diff,-0.25,0.25,2,""Il modello fotografa una sfida bilanciata nella creazione di occasioni: nessuna delle due genera un vantaggio strutturale."""
"xg_diff,0.25,0.75,1,""{teamA} vanta una lieve ma reale superiorità nella creazione di occasioni ({xg_a} xG contro {xg_b})."""
"xg_diff,0.25,0.75,2,""Sul piano degli expected goals {teamA} produce qualcosa in più: vantaggio sottile che va trasformato in cinismo."""
"xg_diff,0.75,99,1,""Differenziale xG nettamente favorevole a {teamA} ({xg_a} contro {xg_b}): la mole di occasioni create dai padroni di casa è di altra categoria."""
"xg_diff,0.75,99,2,""{teamA} genera un flusso offensivo molto più ricco ({xg_a} xG vs {xg_b}): sopra 0.75 di gap il dominio casalingo storicamente si converte in vittoria nella maggioranza dei casi."""
"forma_diff,-99,-6,1,""{teamB} arriva in stato di forma nettamente migliore: {forma_b} punti nelle ultime cinque contro {forma_a} di {teamA}."""
"forma_diff,-99,-6,2,""Il momento psicologico premia chiaramente {teamB}, reduce da un ciclo di risultati molto più ricco."""
"forma_diff,-6,-2,1,""Forma leggermente favorevole a {teamB}, più continuo di {teamA} nell'ultimo ciclo di gare."""
"forma_diff,-6,-2,2,""{teamA} arriva con qualche incertezza di troppo: il trend recente sorride agli ospiti."""
"forma_diff,-2,2,1,""Stato di forma sovrapponibile: {forma_a} e {forma_b} punti nelle ultime cinque. Nessun momentum chiaro."""
"forma_diff,-2,2,2,""Il trend recente è neutro: nessuna delle due squadre può rivendicare un vantaggio di momento."""
"forma_diff,2,6,1,""{teamA} arriva con un momentum leggermente migliore: {forma_a} punti nelle ultime cinque contro {forma_b}."""
"forma_diff,2,6,2,""Il trend recente pende verso i padroni di casa, più continui nell'ultimo ciclo."""
"forma_diff,6,99,1,""{teamA} in stato di forma nettamente superiore: {forma_a} punti nelle ultime cinque contro {forma_b} di {teamB}."""
"forma_diff,6,99,2,""Divario di momento evidente: {teamA} vince e convince, {teamB} arriva da un ciclo povero."""
"casa_trasf,-99,-0.8,1,""Dato strutturale anomalo: {teamB} rende in trasferta meglio di quanto {teamA} renda in casa."""
"casa_trasf,-99,-0.8,2,""Fattore campo debole: gli ospiti viaggiano con passo migliore dei padroni di casa tra le mura amiche."""
"casa_trasf,-0.8,-0.2,1,""Rendimento casa/trasferta leggermente favorevole agli ospiti: il fattore campo esiste ma è attenuato."""
"casa_trasf,-0.8,-0.2,2,""{teamA} non ha trasformato lo stadio in un fortino: vantaggio casalingo solo marginale."""
"casa_trasf,-0.2,0.2,1,""Rendimento casalingo ed esterno si equivalgono: nessun vantaggio strutturale dal fattore campo."""
"casa_trasf,-0.2,0.2,2,""I numeri casa/trasferta descrivono una sfida neutra rispetto al terreno di gioco."""
"casa_trasf,0.2,0.8,1,""{teamA} fa del proprio stadio un vantaggio reale: rendimento casalingo superiore al passo esterno di {teamB}."""
"casa_trasf,0.2,0.8,2,""Il fattore campo pesa: {teamA} raccoglie punti con continuità davanti ai propri tifosi."""
"casa_trasf,0.8,99,1,""Fortino confermato: {teamA} in casa viaggia a ritmi nettamente superiori al rendimento esterno di {teamB}."""
"casa_trasf,0.8,99,2,""Divario casa/trasferta tra i più marcati del campione: lo stadio di {teamA} è un fattore statistico pesante."""
"gol_attesi,0,2.0,1,""Il modello proietta una partita a bassa produzione: {xg_tot} xG complessivi suggeriscono poche occasioni pulite."""
"gol_attesi,0,2.0,2,""Gli indicatori offensivi puntano a una gara chiusa, con gol attesi totali sotto 2.0."""
"gol_attesi,2.0,2.5,1,""Produzione attesa medio-bassa ({xg_tot} xG): l'Over 2.5 non è il profilo statistico primario."""
"gol_attesi,2.0,2.5,2,""Partita da due gol scarsi nel modello: scenari prevalenti 1-1, 1-0, 2-0."""
"gol_attesi,2.5,3.0,1,""{xg_tot} xG totali tengono vivo il profilo Over 2.5: occasioni sufficienti da entrambe le parti."""
"gol_attesi,2.5,3.0,2,""Fascia medio-alta di gol attesi: la partita ha struttura per superare i due gol complessivi."""
"gol_attesi,3.0,99,1,""Alta produzione attesa: {xg_tot} xG complessivi descrivono una partita aperta, con occasioni da entrambe le parti."""
"gol_attesi,3.0,99,2,""Profilo offensivo combinato da gara spettacolare: il modello supera abbondantemente i 3 gol attesi."""
"btts,0,40,1,""Probabilità modello di Gol/Gol bassa ({btts}%): almeno una delle due offensive fatica strutturalmente a produrre."""
"btts,0,40,2,""Scenario No Gol plausibile: {btts}% di BTTS indica una clean sheet statisticamente probabile."""
"btts,40,55,1,""BTTS in fascia neutra ({btts}%): il Gol non è il mercato primario ma resta possibile."""
"btts,40,55,2,""Né chiuso né aperto: la probabilità di entrambe a segno si colloca appena sotto la maggioranza."""
"btts,55,70,1,""Il modello vede entrambe a segno con probabilità solida ({btts}%): le difese concedono più di quanto proteggano."""
"btts,55,70,2,""Profilo Gol/Gol positivo: entrambe le offensive hanno canali di creazione attivi."""
"btts,70,99,1,""BTTS molto probabile ({btts}%): fragilità difensive reciproche rendono il No Gol un'eccezione statistica."""
